frequency f in Hz; re(r) ; im(r)
633.000000;0.537967;-0.328816
634.000000;0.537346;-0.328656
635.000000;0.535585;-0.329979
636.000000;0.535615;-0.329161
637.000000;0.536987;-0.327818
638.000000;0.535704;-0.328421
639.000000;0.534985;-0.327929
640.000000;0.536102;-0.327254
641.000000;0.535831;-0.326387
642.000000;0.535361;-0.326670
643.000000;0.534833;-0.325980
644.000000;0.534171;-0.325532
645.000000;0.534459;-0.326588
646.000000;0.534422;-0.326322
647.000000;0.533457;-0.325125
648.000000;0.533558;-0.324628
649.000000;0.533748;-0.325096
650.000000;0.532317;-0.325797
651.000000;0.531505;-0.323996
652.000000;0.532270;-0.323798
653.000000;0.532518;-0.322724
654.000000;0.531283;-0.322736
655.000000;0.529818;-0.322165
656.000000;0.530113;-0.321853
657.000000;0.530172;-0.321176
658.000000;0.531231;-0.322011
659.000000;0.529758;-0.322625
660.000000;0.529231;-0.322252
661.000000;0.529345;-0.322145
662.000000;0.527851;-0.322202
663.000000;0.527440;-0.319868
664.000000;0.526987;-0.319946
665.000000;0.529111;-0.320337
666.000000;0.528903;-0.319597
667.000000;0.527271;-0.320759
668.000000;0.527553;-0.321761
669.000000;0.527592;-0.320128
670.000000;0.526724;-0.319702
671.000000;0.526419;-0.319018
672.000000;0.526519;-0.319148
673.000000;0.526666;-0.320125
674.000000;0.525567;-0.317798
675.000000;0.525749;-0.318558
676.000000;0.525133;-0.320357
677.000000;0.525237;-0.318565
678.000000;0.524654;-0.318376
679.000000;0.523943;-0.316836
680.000000;0.524269;-0.315764
681.000000;0.524191;-0.316138
682.000000;0.524313;-0.316836
683.000000;0.523816;-0.316647
684.000000;0.522750;-0.315822
685.000000;0.523586;-0.315484
686.000000;0.522918;-0.317392
687.000000;0.523571;-0.317021
688.000000;0.522053;-0.314563
689.000000;0.521646;-0.314566
690.000000;0.521274;-0.314436
691.000000;0.521909;-0.314472
692.000000;0.522061;-0.313498
693.000000;0.520666;-0.313160
694.000000;0.520179;-0.314571
695.000000;0.520836;-0.312732
696.000000;0.520973;-0.312072
697.000000;0.520453;-0.314147
698.000000;0.518924;-0.314921
699.000000;0.518597;-0.315021
700.000000;0.519645;-0.313638
701.000000;0.518856;-0.313089
702.000000;0.518806;-0.312868
703.000000;0.517815;-0.312953
704.000000;0.517772;-0.312549
705.000000;0.518537;-0.313438
706.000000;0.518394;-0.314497
707.000000;0.519539;-0.312130
708.000000;0.518821;-0.312581
709.000000;0.518827;-0.313071
710.000000;0.518582;-0.312589
711.000000;0.517561;-0.313910
712.000000;0.518685;-0.313678
713.000000;0.518344;-0.314522
714.000000;0.515155;-0.312189
715.000000;0.514820;-0.311742
716.000000;0.516353;-0.310802
717.000000;0.516374;-0.310840
718.000000;0.515570;-0.311895
719.000000;0.514434;-0.310968
720.000000;0.515436;-0.310999
721.000000;0.515242;-0.312153
722.000000;0.514637;-0.311673
723.000000;0.515237;-0.311120
724.000000;0.514159;-0.312589
725.000000;0.513518;-0.312367
726.000000;0.515486;-0.309957
727.000000;0.514544;-0.309667
728.000000;0.511653;-0.311119
729.000000;0.511795;-0.309841
730.000000;0.513037;-0.311918
731.000000;0.512498;-0.311690
732.000000;0.511323;-0.308653
733.000000;0.512599;-0.309281
734.000000;0.513416;-0.310112
735.000000;0.513019;-0.310209
736.000000;0.513550;-0.309485
737.000000;0.512148;-0.308210
738.000000;0.512459;-0.308429
739.000000;0.511814;-0.308513
740.000000;0.511987;-0.307949
741.000000;0.512185;-0.308026
742.000000;0.512069;-0.308454
743.000000;0.511041;-0.308869
744.000000;0.509921;-0.308414
745.000000;0.513109;-0.306997
746.000000;0.510919;-0.307308
747.000000;0.508993;-0.309330
748.000000;0.508036;-0.309970
749.000000;0.508351;-0.309373
750.000000;0.510040;-0.309243
751.000000;0.510154;-0.306608
752.000000;0.509057;-0.305201
753.000000;0.509407;-0.305714
754.000000;0.508093;-0.308522
755.000000;0.511965;-0.310339
756.000000;0.512230;-0.308255
757.000000;0.509236;-0.306001
758.000000;0.508703;-0.307175
759.000000;0.508180;-0.305967
760.000000;0.507447;-0.305894
761.000000;0.509108;-0.304790
762.000000;0.509259;-0.307232
763.000000;0.508413;-0.310713
764.000000;0.507546;-0.308507
765.000000;0.508602;-0.308691
766.000000;0.509152;-0.306531
767.000000;0.510368;-0.304583
768.000000;0.508505;-0.304335
769.000000;0.506522;-0.305956
770.000000;0.507999;-0.308977
771.000000;0.507698;-0.309765
772.000000;0.510279;-0.309817
773.000000;0.507482;-0.305871
774.000000;0.504434;-0.307423
775.000000;0.505789;-0.308098
776.000000;0.504616;-0.307675
777.000000;0.509078;-0.311214
778.000000;0.510581;-0.309316
779.000000;0.507935;-0.307872
780.000000;0.504974;-0.308457
781.000000;0.509621;-0.309927
782.000000;0.510128;-0.310062
783.000000;0.509298;-0.307833
784.000000;0.509285;-0.311685
785.000000;0.508429;-0.314034
786.000000;0.505759;-0.309005
787.000000;0.508663;-0.310110
788.000000;0.510371;-0.313158
789.000000;0.508932;-0.308325
790.000000;0.508823;-0.308713
791.000000;0.508076;-0.309249
792.000000;0.505373;-0.307608
793.000000;0.509238;-0.305849
794.000000;0.508123;-0.309989
795.000000;0.504279;-0.311491
796.000000;0.508236;-0.310760
797.000000;0.507901;-0.311464
798.000000;0.505792;-0.314057
799.000000;0.505475;-0.313250
800.000000;0.504413;-0.312460
801.000000;0.510398;-0.309995
802.000000;0.506836;-0.309582
803.000000;0.503890;-0.315058
804.000000;0.503940;-0.316184
805.000000;0.504401;-0.313018
806.000000;0.506727;-0.312678
807.000000;0.507497;-0.314455
808.000000;0.508006;-0.316411
809.000000;0.506492;-0.314214
810.000000;0.509876;-0.311678
811.000000;0.506803;-0.313128
812.000000;0.507302;-0.316385
813.000000;0.508077;-0.317273
814.000000;0.512260;-0.321828
815.000000;0.510500;-0.317910
816.000000;0.507449;-0.320769
817.000000;0.508417;-0.322579
818.000000;0.507050;-0.320423
819.000000;0.510915;-0.319705
820.000000;0.510318;-0.320815
821.000000;0.509634;-0.324530
822.000000;0.510103;-0.325959
823.000000;0.505322;-0.329593
824.000000;0.508046;-0.330565
825.000000;0.511192;-0.326730
826.000000;0.508089;-0.325412
827.000000;0.506883;-0.328968
828.000000;0.509281;-0.329075
829.000000;0.505960;-0.330295
830.000000;0.506266;-0.332329
831.000000;0.508585;-0.331612
832.000000;0.510701;-0.330159
833.000000;0.509618;-0.331035
834.000000;0.508066;-0.330977
835.000000;0.507051;-0.334306
836.000000;0.512080;-0.336581
837.000000;0.508694;-0.339518
838.000000;0.506745;-0.342425
839.000000;0.504808;-0.343260
840.000000;0.505834;-0.341686
841.000000;0.505636;-0.340421
842.000000;0.507470;-0.340951
843.000000;0.502807;-0.342740
844.000000;0.501034;-0.343662
845.000000;0.500642;-0.347972
846.000000;0.502147;-0.347015
847.000000;0.501823;-0.344215
848.000000;0.501997;-0.348345
849.000000;0.499873;-0.349330
850.000000;0.499991;-0.346329
851.000000;0.500249;-0.349977
852.000000;0.499709;-0.354681
853.000000;0.502835;-0.354775
854.000000;0.499531;-0.352662
855.000000;0.496182;-0.357816
856.000000;0.493644;-0.360425
857.000000;0.496549;-0.362213
858.000000;0.493108;-0.361605
859.000000;0.495471;-0.363125
860.000000;0.491175;-0.369637
861.000000;0.492847;-0.366179
862.000000;0.491705;-0.368352
863.000000;0.487934;-0.369601
864.000000;0.489838;-0.368005
865.000000;0.491553;-0.369677
866.000000;0.492999;-0.370333
867.000000;0.491908;-0.373591
868.000000;0.486560;-0.375420
869.000000;0.488413;-0.377687
870.000000;0.490291;-0.382013
871.000000;0.488144;-0.384250
872.000000;0.482636;-0.385050
873.000000;0.483553;-0.386888
874.000000;0.483884;-0.388511
875.000000;0.480495;-0.388517
876.000000;0.478839;-0.394575
877.000000;0.475084;-0.398880
878.000000;0.472975;-0.397079
879.000000;0.472534;-0.402196
880.000000;0.472953;-0.402281
881.000000;0.470723;-0.400684
882.000000;0.470883;-0.402343
883.000000;0.468805;-0.405830
884.000000;0.464058;-0.410839
885.000000;0.462486;-0.413906
886.000000;0.462872;-0.415080
887.000000;0.460103;-0.413508
888.000000;0.453591;-0.414907
889.000000;0.467378;-0.414701
890.000000;0.466257;-0.411619
891.000000;0.462350;-0.412687
892.000000;0.463260;-0.418446
893.000000;0.462391;-0.421387
894.000000;0.456188;-0.422302
895.000000;0.453254;-0.424650
896.000000;0.449592;-0.427103
897.000000;0.449367;-0.428831
898.000000;0.446026;-0.434727
899.000000;0.440699;-0.437581
900.000000;0.441371;-0.440670
901.000000;0.436108;-0.441306
902.000000;0.433288;-0.441735
903.000000;0.429740;-0.443054
904.000000;0.423660;-0.443021
905.000000;0.420187;-0.448624
906.000000;0.418080;-0.448626
907.000000;0.415580;-0.445904
908.000000;0.409789;-0.451238
909.000000;0.405501;-0.454277
910.000000;0.396969;-0.455030
911.000000;0.392736;-0.454271
912.000000;0.391677;-0.453930
913.000000;0.388544;-0.453354
914.000000;0.381469;-0.460517
915.000000;0.375546;-0.461572
916.000000;0.371365;-0.458619
917.000000;0.365418;-0.458804
918.000000;0.357885;-0.457889
919.000000;0.351406;-0.459275
920.000000;0.346249;-0.461357
921.000000;0.347631;-0.462711
922.000000;0.343082;-0.461305
923.000000;0.334740;-0.458801
924.000000;0.327396;-0.455090
925.000000;0.324454;-0.453246
926.000000;0.319124;-0.451383
927.000000;0.313622;-0.449285
928.000000;0.307670;-0.451314
929.000000;0.303000;-0.448695
930.000000;0.297313;-0.449388
931.000000;0.292962;-0.441773
932.000000;0.290251;-0.439410
933.000000;0.285272;-0.439284
934.000000;0.281663;-0.436686
935.000000;0.276165;-0.433726
936.000000;0.271493;-0.429345
937.000000;0.266687;-0.426131
938.000000;0.260880;-0.426400
939.000000;0.255377;-0.424266
940.000000;0.251500;-0.418003
941.000000;0.251290;-0.411457
942.000000;0.247524;-0.407806
943.000000;0.244330;-0.403869
944.000000;0.238999;-0.402306
945.000000;0.233561;-0.400541
946.000000;0.229888;-0.394743
947.000000;0.229259;-0.390832
948.000000;0.227954;-0.385980
949.000000;0.223857;-0.380868
950.000000;0.220149;-0.376931
951.000000;0.218642;-0.373074
952.000000;0.215791;-0.369769
953.000000;0.214041;-0.367204
954.000000;0.212831;-0.361120
955.000000;0.209154;-0.356518
956.000000;0.205552;-0.349656
957.000000;0.206302;-0.347476
958.000000;0.203993;-0.344568
959.000000;0.200773;-0.337399
960.000000;0.200305;-0.332307
961.000000;0.199395;-0.328167
962.000000;0.197332;-0.324695
963.000000;0.199395;-0.319732
964.000000;0.198167;-0.313545
965.000000;0.197828;-0.308836
