target,target_name,frequency_hz,parameter,base_sample_size,teacher_S1,teacher_ST,teacher_S1_ci_low,teacher_S1_ci_high,teacher_ST_ci_low,teacher_ST_ci_high,mlp_S1,mlp_ST,mlp_minus_teacher_S1,mlp_minus_teacher_ST
re,R_real,329.133858267717,lambda,1024,0.00515361593810504,0.0106108680557443,-0.0679646711650888,0.0760783407744914,0.00852887332346375,0.0129777838870144,0.0079753002512315,0.0108329566812329,0.00282168431312646,0.00022208862548858
re,R_real,329.133858267717,lambda_prime,1024,0.00634598937886388,0.0156585670158259,-0.0651860397986381,0.0752661010913666,0.0133066054215401,0.0184645734271057,0.0111721829975054,0.0148753773037238,0.00482619361864156,-0.000783189712102113
re,R_real,329.133858267717,k0_prime,1024,0.159825757365146,0.179605213993527,0.0927657582437166,0.231287034580303,0.164569164302252,0.199155707636632,0.15196133800955,0.17136902856024,-0.00786441935559679,-0.00823618543328691
re,R_real,367.322834645669,sigma,1024,0.620496080336082,0.645234869537208,0.580984062716572,0.652540818839212,0.592384099712346,0.698773081779428,0.628288815120798,0.648648925145923,0.00779273478471554,0.00341405560871455
re,R_real,367.322834645669,alpha_infinity,1024,0.0291418406342787,0.0328109908437118,-0.0371288436212998,0.0971544426369961,0.0293169765983727,0.0387470609656706,0.0303951256811936,0.0337017978196431,0.00125328504691491,0.000890806975931295
re,R_real,367.322834645669,lambda,1024,0.0112294612233838,0.0212522844044851,-0.0532909675238495,0.0743231238497956,0.0168153333261246,0.0262958949979932,0.0119897591871319,0.0211114386656535,0.000760297963748102,-0.000140845738831639
re,R_real,367.322834645669,lambda_prime,1024,0.0049879624329181,0.0158976449496946,-0.0579924816793242,0.0727341352790346,0.0134397259189467,0.0185649836376409,0.00857946724405523,0.0145990821719567,0.00359150481113713,-0.00129856277773798
re,R_real,367.322834645669,k0_prime,1024,0.301662025507222,0.323683523851678,0.23645917924376,0.360496095318034,0.29743903805208,0.360567615387199,0.295698383324462,0.315218365756834,-0.00596364218275991,-0.00846515809484438
re,R_real,405.511811023622,sigma,1024,0.393599075200184,0.427462945226785,0.331954471945696,0.443843780226284,0.388963978042102,0.466425194478519,0.400545570722031,0.430345636681797,0.00694649552184723,0.00288269145501252
re,R_real,405.511811023622,alpha_infinity,1024,0.0491940027866014,0.0575426090312244,-0.00651026726045045,0.114238015961365,0.0515064570685663,0.0692599554498694,0.0501351414713428,0.0576434502555893,0.000941138684741438,0.00010084122436492
re,R_real,405.511811023622,lambda,1024,0.0195867710179759,0.0381770894820422,-0.0360301352415628,0.0879681617378587,0.029810721938415,0.0475973641449976,0.0197382780265185,0.0386322681222491,0.000151507008542606,0.000455178640206833
re,R_real,405.511811023622,lambda_prime,1024,0.00590818885473188,0.0196275008406239,-0.0461026351087561,0.0685284424889425,0.0168811706002399,0.0230221573113373,0.00771974428684785,0.0171140345812708,0.00181155543211597,-0.0025134662593531
re,R_real,405.511811023622,k0_prime,1024,0.485780070617053,0.512618978718004,0.428462078496987,0.53588144928087,0.473354366760643,0.56242780223222,0.483112117020852,0.503657704075511,-0.00266795359620065,-0.0089612746424923
re,R_real,443.700787401575,sigma,1024,0.187468939180461,0.235361506041484,0.122385071149922,0.251100074876924,0.216402277611526,0.26096593859422,0.187308558278205,0.234256003691671,-0.000160380902256119,-0.00110550234981308
re,R_real,443.700787401575,alpha_infinity,1024,0.0691882459899974,0.0853033671151637,0.00417616033014845,0.13217284319743,0.0747096284914186,0.104301921041447,0.0663210108580131,0.0863640943257291,-0.00286723513198428,0.00106072721056541
re,R_real,443.700787401575,lambda,1024,0.0275758156945614,0.0576268648812803,-0.0388009131176092,0.0984951255773961,0.0449998725149914,0.0720269390102008,0.0215845373800989,0.0557130105301598,-0.00599127831446244,-0.00191385435112054
re,R_real,443.700787401575,lambda_prime,1024,0.00926098277255261,0.0263372137337909,-0.0446345195174964,0.0647802396491174,0.0223111387256912,0.0320095528599831,0.00552484003158626,0.0219895102556354,-0.00373614274096634,-0.00434770347815545
re,R_real,443.700787401575,k0_prime,1024,0.638588009535291,0.672579575502471,0.603415888219361,0.665764198789713,0.618238384215214,0.734996760142807,0.64438907140821,0.669214570825198,0.00580106187291951,-0.00336500467727308
re,R_real,481.889763779528,sigma,1024,0.116714835990211,0.178631915095178,0.0398960492938691,0.200740820082301,0.16503913998474,0.194931023531911,0.119807637766425,0.179825655615355,0.00309280177621474,0.00119374052017668
re,R_real,481.889763779528,alpha_infinity,1024,0.0790791798693846,0.103053501883198,0.00981690541474556,0.141056262656141,0.0878781859689721,0.126690551565023,0.0765886511257377,0.1022730713397,-0.00249052874364697,-0.00078043054349787
re,R_real,481.889763779528,lambda,1024,0.0311412572551198,0.0704628545780923,-0.048473333642914,0.0953295412684493,0.0552118573159705,0.0871861142901471,0.0271331019089707,0.0690968436747492,-0.00400815534614918,-0.00136601090334315
re,R_real,481.889763779528,lambda_prime,1024,0.0129448640478257,0.0321843838164052,-0.0460097469101579,0.0767290375562796,0.0274517530949403,0.0405433065031939,0.00962787072582971,0.0291787501309282,-0.00331699332199598,-0.00300563368547698
re,R_real,481.889763779528,k0_prime,1024,0.670549419304733,0.710769393447688,0.637646557520605,0.691033746277591,0.657968798358805,0.783478740460503,0.67696693336183,0.709283059002733,0.00641751405709645,-0.00148633444495516
