Frequency in Hz	Wool_95 Normalized Surface Impedance continuous Re	Frequency in Hz	Wool_95 Normalized Surface Impedance continuous Im	
1193,75	0,856911957263947	1193,75	-0,846669912338257	
1196,875	0,859302997589111	1196,875	-0,841376423835754	
1200	0,856823801994324	1200	-0,833913683891296	
1203,125	0,860391139984131	1203,125	-0,831294000148773	
1206,25	0,866494297981262	1206,25	-0,828445613384247	
1209,375	0,859952390193939	1209,375	-0,82153594493866	
1212,5	0,859089970588684	1212,5	-0,813845574855804	
1215,625	0,862403333187103	1215,625	-0,814880311489105	
1218,75	0,861427009105682	1218,75	-0,808903872966766	
1221,875	0,865169227123261	1221,875	-0,807558834552765	
1225	0,865505754947662	1225	-0,806982278823853	
1228,125	0,862890660762787	1228,125	-0,797966361045837	
1231,25	0,865021228790283	1231,25	-0,797179818153381	
1234,375	0,866377770900726	1234,375	-0,796226501464844	
1237,5	0,862899005413055	1237,5	-0,791617155075073	
1240,625	0,866749048233032	1240,625	-0,787449896335602	
1243,75	0,865202069282532	1243,75	-0,782217919826508	
1246,875	0,868351638317108	1246,875	-0,779361844062805	
1250	0,870677173137665	1250	-0,772956669330597	
1253,125	0,867389738559723	1253,125	-0,770821094512939	
1256,25	0,866772830486298	1256,25	-0,764545559883118	
1259,375	0,868964493274689	1259,375	-0,762516856193542	
1262,5	0,870901167392731	1262,5	-0,763138115406036	
1265,625	0,87127023935318	1265,625	-0,759921014308929	
1268,75	0,870210289955139	1268,75	-0,756397843360901	
1271,875	0,872315168380737	1271,875	-0,752128839492798	
1275	0,871232867240906	1275	-0,749917209148407	
1278,125	0,872244715690613	1278,125	-0,745743989944458	
1281,25	0,870274066925049	1281,25	-0,743122220039368	
1284,375	0,871905863285065	1284,375	-0,741919577121735	
1287,5	0,869820654392242	1287,5	-0,739765524864197	
1290,625	0,868286073207855	1290,625	-0,734135687351227	
1293,75	0,870664119720459	1293,75	-0,73106175661087	
1296,875	0,870367646217346	1296,875	-0,724646270275116	
1300	0,865836679935455	1300	-0,724947154521942	
1303,125	0,863712251186371	1303,125	-0,720017790794373	
1306,25	0,866512894630432	1306,25	-0,716463625431061	
1309,375	0,866813898086548	1309,375	-0,710325062274933	
1312,5	0,865853250026703	1312,5	-0,705352962017059	
1315,625	0,865072846412659	1315,625	-0,70285576581955	
1318,75	0,867760360240936	1318,75	-0,695350646972656	
1321,875	0,869591295719147	1321,875	-0,693347692489624	
1325	0,869472980499268	1325	-0,689168453216553	
1328,125	0,868608236312866	1328,125	-0,684361219406128	
1331,25	0,870668590068817	1331,25	-0,679452896118164	
1334,375	0,868445813655853	1334,375	-0,673839509487152	
1337,5	0,871394157409668	1337,5	-0,67180073261261	
1340,625	0,874410390853882	1340,625	-0,666853904724121	
1343,75	0,874911248683929	1343,75	-0,665102541446686	
1346,875	0,876521766185761	1346,875	-0,659207999706268	
1350	0,875645101070404	1350	-0,656094610691071	
1353,125	0,876999318599701	1353,125	-0,655345916748047	
1356,25	0,874223411083221	1356,25	-0,649856150150299	
1359,375	0,87845253944397	1359,375	-0,645551264286041	
1362,5	0,878808915615082	1362,5	-0,641545951366425	
1365,625	0,878418982028961	1365,625	-0,639170229434967	
1368,75	0,880499184131622	1368,75	-0,636148154735565	
1371,875	0,879913985729218	1371,875	-0,630870819091797	
1375	0,877359926700592	1375	-0,628223836421967	
1378,125	0,878709316253662	1378,125	-0,626385807991028	
1381,25	0,878127336502075	1381,25	-0,617762267589569	
