Frequency in Hz	Silk_92_LF Sound Reflection Factor continuous Re	Frequency in Hz	Silk_92_HF Sound Reflection Factor continuous Re	Frequency in Hz	Silk_92_LF Sound Reflection Factor continuous Im	Frequency in Hz	Silk_92_HF Sound Reflection Factor continuous Im	
621,875	0,723025739192963	1078,125	0,69879162311554	621,875	-0,127959787845612	1078,125	-0,0130196874961257	
625	0,722999751567841	1081,25	0,697434186935425	625	-0,126064494252205	1081,25	-0,0114282676950097	
628,125	0,724919855594635	1084,375	0,696813881397247	628,125	-0,127075105905533	1084,375	-0,0117098009213805	
631,25	0,725065946578979	1087,5	0,696659088134766	631,25	-0,125191316008568	1087,5	-0,0124890217557549	
634,375	0,723963439464569	1090,625	0,696478366851807	634,375	-0,124759696424007	1090,625	-0,0120419878512621	
637,5	0,72237753868103	1093,75	0,696084797382355	637,5	-0,123433440923691	1093,75	-0,0118043934926391	
640,625	0,723546981811523	1096,875	0,696478366851807	640,625	-0,125330582261086	1096,875	-0,0126042412593961	
643,75	0,724839210510254	1100	0,696055054664612	643,75	-0,126043260097504	1100	-0,011348994448781	
646,875	0,724189460277557	1103,125	0,696086525917053	646,875	-0,124773770570755	1103,125	-0,0117790251970291	
650	0,723700761795044	1106,25	0,692973136901855	650	-0,124430827796459	1106,25	-0,0114701436832547	
653,125	0,724511384963989	1109,375	0,693101644515991	653,125	-0,124780602753162	1109,375	-0,0125791681930423	
656,25	0,725759625434875	1112,5	0,696066617965698	656,25	-0,123855151236057	1112,5	-0,0109963351860642	
659,375	0,726674854755402	1115,625	0,69489973783493	659,375	-0,12596707046032	1115,625	-0,0104346433654428	
662,5	0,724371612071991	1118,75	0,693810999393463	662,5	-0,124641552567482	1118,75	-0,0114286262542009	
665,625	0,725652277469635	1121,875	0,693473994731903	665,625	-0,124547466635704	1121,875	-0,0113329254090786	
668,75	0,724746346473694	1125	0,693953275680542	668,75	-0,124035157263279	1125	-0,0102813336998224	
671,875	0,724282801151276	1128,125	0,69374144077301	671,875	-0,123638153076172	1128,125	-0,0100973350927234	
675	0,724442064762115	1131,25	0,693544864654541	675	-0,123461931943893	1131,25	-0,0118627026677132	
678,125	0,723031640052795	1134,375	0,693216979503632	678,125	-0,124328561127186	1134,375	-0,0102719096466899	
681,25	0,723577380180359	1137,5	0,693342208862305	681,25	-0,125080719590187	1137,5	-0,0108328144997358	
684,375	0,723749399185181	1140,625	0,694409251213074	684,375	-0,1237388625741	1140,625	-0,0104937851428986	
687,5	0,722201347351074	1143,75	0,692782402038574	687,5	-0,124668002128601	1143,75	-0,0119602922350168	
