Frequency in Hz	Silk_95 Normalized Surface Impedance continuous Re	Frequency in Hz	Silk_95 Normalized Surface Impedance continuous Im	
1612,5	2,67893576622009	1612,5	-0,230397045612335	
1615,625	2,68556642532349	1615,625	-0,229774132370949	
1618,75	2,68956470489502	1618,75	-0,234859734773636	
1621,875	2,6828887462616	1621,875	-0,229548305273056	
1625	2,6743175983429	1625	-0,233830571174622	
1628,125	2,66964197158813	1628,125	-0,221415579319	
1631,25	2,66071844100952	1631,25	-0,229241669178009	
1634,375	2,67371821403503	1634,375	-0,226045534014702	
1637,5	2,65793228149414	1637,5	-0,226027712225914	
1640,625	2,6429398059845	1640,625	-0,206475481390953	
1643,75	2,63183093070984	1643,75	-0,225560590624809	
1646,875	2,64314579963684	1646,875	-0,211313053965569	
1650	2,64428448677063	1650	-0,211202844977379	
1653,125	2,63285398483276	1653,125	-0,205412358045578	
1656,25	2,62838792800903	1656,25	-0,200603187084198	
1659,375	2,62564468383789	1659,375	-0,190018549561501	
1662,5	2,62640690803528	1662,5	-0,184868276119232	
1665,625	2,62963771820068	1665,625	-0,184937477111816	
1668,75	2,63173604011536	1668,75	-0,174877598881721	
1671,875	2,63476204872131	1671,875	-0,17348538339138	
1675	2,62862634658813	1675	-0,172337412834167	
1678,125	2,6270751953125	1678,125	-0,179020687937737	
1681,25	2,63180494308472	1681,25	-0,163780808448792	
1684,375	2,61041307449341	1684,375	-0,164872467517853	
1687,5	2,61501049995422	1687,5	-0,160227343440056	
1690,625	2,61498928070068	1690,625	-0,157746896147728	
1693,75	2,61033892631531	1693,75	-0,145942434668541	
1696,875	2,62580466270447	1696,875	-0,151645377278328	
1700	2,62383699417114	1700	-0,15079553425312	
1703,125	2,63240671157837	1703,125	-0,149622887372971	
