Frequency in Hz	Acrylic_96 Sound Reflection Factor continuous Re	Frequency in Hz	Acrylic_96 Sound Reflection Factor continuous Im	
1643,75	0,0591855086386204	1643,75	-0,193968772888184	
1646,875	0,0595568120479584	1646,875	-0,192693307995796	
1650	0,0587750859558582	1650	-0,190873116254807	
1653,125	0,0580306723713875	1653,125	-0,189604192972183	
1656,25	0,0586299486458302	1656,25	-0,189479112625122	
1659,375	0,056853611022234	1659,375	-0,18812520802021	
1662,5	0,0565135069191456	1662,5	-0,186914250254631	
1665,625	0,056392140686512	1665,625	-0,185754060745239	
1668,75	0,0542599037289619	1668,75	-0,183628246188164	
1671,875	0,0521107017993927	1671,875	-0,182434216141701	
1675	0,0524203777313232	1675	-0,183580547571182	
1678,125	0,0505238771438599	1678,125	-0,182016029953957	
1681,25	0,0504644699394703	1681,25	-0,181199759244919	
1684,375	0,0488431341946125	1684,375	-0,180374518036842	
1687,5	0,04695063829422	1687,5	-0,177244171500206	
1690,625	0,0466633625328541	1690,625	-0,1762315928936	
1693,75	0,0445759110152721	1693,75	-0,17416350543499	
1696,875	0,0441067069768906	1696,875	-0,172998771071434	
