Frequency in Hz	Wool_96 Sound Reflection Factor continuous Re	Frequency in Hz	Wool_96 Sound Reflection Factor continuous Im	
1390,625	0,095949612557888	1390,625	-0,393367856740952	
1393,75	0,0939745381474495	1393,75	-0,391583025455475	
1396,875	0,0925778299570084	1396,875	-0,39102891087532	
1400	0,0919415056705475	1400	-0,388676941394806	
1403,125	0,0900635719299316	1403,125	-0,388220638036728	
1406,25	0,0884145498275757	1406,25	-0,387910187244415	
1409,375	0,0861298441886902	1409,375	-0,385996490716934	
1412,5	0,0861359611153603	1412,5	-0,383788764476776	
1415,625	0,0838362500071526	1415,625	-0,382729917764664	
1418,75	0,0829207971692085	1418,75	-0,382016241550446	
1421,875	0,0824607536196709	1421,875	-0,379714608192444	
1425	0,081820160150528	1425	-0,378874480724335	
1428,125	0,0777758955955505	1428,125	-0,378340601921082	
1431,25	0,0781175345182419	1431,25	-0,376379400491714	
1434,375	0,077138178050518	1434,375	-0,3745137155056	
1437,5	0,0756755471229553	1437,5	-0,371345072984695	
1440,625	0,0773503929376602	1440,625	-0,371486663818359	
1443,75	0,0713152661919594	1443,75	-0,370340764522552	
1446,875	0,0728032439947128	1446,875	-0,368135452270508	
1450	0,0717568174004555	1450	-0,366466850042343	
1453,125	0,0707513764500618	1453,125	-0,365128010511398	
1456,25	0,0684672594070435	1456,25	-0,363976627588272	
1459,375	0,0681171864271164	1459,375	-0,36237621307373	
1462,5	0,0676398277282715	1462,5	-0,359856694936752	
1465,625	0,066109411418438	1465,625	-0,359991610050201	
1468,75	0,0638985633850098	1468,75	-0,35769385099411	
1471,875	0,0628357082605362	1471,875	-0,356697171926498	
1475	0,0630263164639473	1475	-0,356241673231125	
1478,125	0,0612994693219662	1478,125	-0,354357570409775	
1481,25	0,0612261071801186	1481,25	-0,351982772350311	
1484,375	0,0585304498672485	1484,375	-0,350327014923096	
1487,5	0,0574770271778107	1487,5	-0,351608127355576	
1490,625	0,0566751919686794	1490,625	-0,349605321884155	
1493,75	0,0555528104305267	1493,75	-0,348958522081375	
1496,875	0,0563242919743061	1496,875	-0,348303020000458	
1500	0,0529796704649925	1500	-0,346062541007996	
1503,125	0,0522674471139908	1503,125	-0,343752652406693	
1506,25	0,052672665566206	1506,25	-0,342045366764069	
1509,375	0,0491749234497547	1509,375	-0,341801553964615	
1512,5	0,0482703037559986	1512,5	-0,34053760766983	
1515,625	0,0473374240100384	1515,625	-0,340025037527084	
1518,75	0,0475291311740875	1518,75	-0,337188184261322	
1521,875	0,0474953874945641	1521,875	-0,336605429649353	
1525	0,043116819113493	1525	-0,336705237627029	
1528,125	0,0437789298593998	1528,125	-0,33330225944519	
1531,25	0,0431153327226639	1531,25	-0,332702666521072	
1534,375	0,0419885851442814	1534,375	-0,330078780651093	
1537,5	0,03959646448493	1537,5	-0,330741763114929	
1540,625	0,0399657115340233	1540,625	-0,329687863588333	
1543,75	0,0359880328178406	1543,75	-0,327578276395798	
1546,875	0,0367617458105087	1546,875	-0,325682789087296	
1550	0,0342871844768524	1550	-0,324543416500092	
1553,125	0,0340797863900661	1553,125	-0,323927670717239	
1556,25	0,0324115231633186	1556,25	-0,321320623159409	
1559,375	0,0315429009497166	1559,375	-0,320479273796082	
1562,5	0,0305178072303534	1562,5	-0,31970801949501	
1565,625	0,0292850062251091	1565,625	-0,315997421741486	
1568,75	0,0277945026755333	1568,75	-0,317085713148117	
1571,875	0,0262849442660809	1571,875	-0,314224183559418	
1575	0,0265573151409626	1575	-0,313270449638367	
1578,125	0,0255449265241623	1578,125	-0,311349660158157	
1581,25	0,0234662722796202	1581,25	-0,310125797986984	
1584,375	0,0245787631720304	1584,375	-0,307798326015472	
1587,5	0,0221197940409184	1587,5	-0,306011646986008	
1590,625	0,0200258959084749	1590,625	-0,305681586265564	
1593,75	0,0194405727088451	1593,75	-0,304254949092865	
1596,875	0,0192934349179268	1596,875	-0,302327126264572	
1600	0,0182304158806801	1600	-0,302099287509918	
1603,125	0,0171852204948664	1603,125	-0,301105737686157	
1606,25	0,0164812188595533	1606,25	-0,299280971288681	
1609,375	0,0170874744653702	1609,375	-0,295110791921616	
1612,5	0,0150351831689477	1612,5	-0,292387545108795	
1615,625	0,0137208830565214	1615,625	-0,292677223682404	
1618,75	0,0128912692889571	1618,75	-0,293237507343292	
1621,875	0,0127990245819092	1621,875	-0,291537225246429	
1625	0,0110299177467823	1625	-0,290116369724274	
1628,125	0,0115287015214562	1628,125	-0,288834363222122	
1631,25	0,00878206081688404	1631,25	-0,286805361509323	
1634,375	0,00811920780688524	1634,375	-0,286915898323059	
1637,5	0,00694276345893741	1637,5	-0,285973638296127	
1640,625	0,00884868204593658	1640,625	-0,282352864742279	
1643,75	0,00302646704949439	1643,75	-0,280132591724396	
1646,875	0,00452414760366082	1646,875	-0,280836343765259	
1650	0,00309235695749521	1650	-0,28080826997757	
1653,125	0,00196385406889021	1653,125	-0,278145909309387	
1656,25	0,00105823716148734	1656,25	-0,276646375656128	
1659,375	0,0011819313513115	1659,375	-0,275452524423599	
1662,5	0,000842768989969045	1662,5	-0,273759663105011	
1665,625	-0,00205790554173291	1665,625	-0,27309787273407	
1668,75	-0,00237938668578863	1668,75	-0,272150963544846	
1671,875	-0,00379154062829912	1671,875	-0,271121889352798	
1675	-0,00475615449249744	1675	-0,268116801977158	
1678,125	-0,00697797443717718	1678,125	-0,267286479473114	
1681,25	-0,00620820233598351	1681,25	-0,266277611255646	
1684,375	-0,00825467705726624	1684,375	-0,261589974164963	
1687,5	-0,00909457728266716	1687,5	-0,260868012905121	
1690,625	-0,00965547002851963	1690,625	-0,259235352277756	
1693,75	-0,00933464709669352	1693,75	-0,256807833909988	
1696,875	-0,0124562662094831	1696,875	-0,25642928481102	
