Frequency in Hz	Acrylic_92 Sound Reflection Factor continuous Re	Frequency in Hz	Acrylic_92 Sound Reflection Factor continuous Im	
1590,625	0,316380470991135	1590,625	-0,0148662542924285	
1593,75	0,31643146276474	1593,75	-0,0145799582824111	
1596,875	0,315686166286469	1596,875	-0,0149997621774673	
1600	0,315977096557617	1600	-0,0141465878114104	
1603,125	0,315769344568253	1603,125	-0,0142019744962454	
1606,25	0,315919995307922	1606,25	-0,0131357414647937	
1609,375	0,314720004796982	1609,375	-0,0137998973950744	
1612,5	0,314162045717239	1612,5	-0,0133867720142007	
1615,625	0,313652575016022	1615,625	-0,0124683268368244	
1618,75	0,313117295503616	1618,75	-0,0117457360029221	
1621,875	0,313001692295074	1621,875	-0,0102520994842052	
1625	0,310927927494049	1625	-0,0096492525190115	
1628,125	0,311175674200058	1628,125	-0,00826200656592846	
1631,25	0,311011612415314	1631,25	-0,00709484750404954	
1634,375	0,311647266149521	1634,375	-0,00547251757234335	
1637,5	0,311147332191467	1637,5	-0,00464313570410013	
1640,625	0,312801748514175	1640,625	-0,00346259097568691	
1643,75	0,312843084335327	1643,75	-0,00234132376499474	
1646,875	0,312938839197159	1646,875	2,42330497712828E-05	
1650	0,31337234377861	1650	0,00135995249729604	
1653,125	0,314549028873444	1653,125	0,00191144424024969	
1656,25	0,315341800451279	1656,25	0,00397277902811766	
1659,375	0,315561324357986	1659,375	0,00507773645222187	
1662,5	0,316876322031021	1662,5	0,006408607121557	
1665,625	0,318409860134125	1665,625	0,00777014438062906	
1668,75	0,319016814231873	1668,75	0,00792225543409586	
1671,875	0,319206357002258	1671,875	0,00791532453149557	
1675	0,321448892354965	1675	0,00996389705687761	
1678,125	0,322783142328262	1678,125	0,00987258274108171	
1681,25	0,324178338050842	1681,25	0,010831999592483	
1684,375	0,325111776590347	1684,375	0,0111748287454247	
1687,5	0,325510829687119	1687,5	0,0102308494970202	
1690,625	0,327004909515381	1690,625	0,0113037265837193	
